#ID	prob(Ia)	prob(II)	prob(Ibc)
410	0.267564	0.598801	0.133634
411	0.272560	0.597916	0.129524
412	0.267990	0.609734	0.122276
413	0.296052	0.571791	0.132157
414	0.269974	0.598615	0.131411
415	0.297831	0.569938	0.132231
416	0.284863	0.579263	0.135874
417	0.253296	0.635503	0.111201
418	0.315840	0.537728	0.146432
419	0.204383	0.687900	0.107717
420	0.271335	0.590269	0.138395
421	0.244108	0.658297	0.097595
422	0.268410	0.607135	0.124455
423	0.313292	0.556246	0.130462
424	0.307486	0.566028	0.126486
425	0.255791	0.619698	0.124511
426	0.293509	0.555801	0.150690
427	0.296757	0.556664	0.146580
428	0.262022	0.608182	0.129796
429	0.285923	0.586176	0.127901
430	0.254304	0.621493	0.124203
431	0.299855	0.563010	0.137135
432	0.298990	0.572305	0.128705
433	0.318601	0.546278	0.135121
434	0.283763	0.577920	0.138318
435	0.262344	0.610511	0.127145
436	0.274562	0.599378	0.126060
437	0.253024	0.613765	0.133211
438	0.231754	0.668574	0.099672
439	0.293062	0.566583	0.140356
440	0.297349	0.576484	0.126167
441	0.310012	0.556007	0.133981
442	0.293551	0.566922	0.139526
443	0.250621	0.638785	0.110593
444	0.234972	0.675198	0.089830
445	0.308896	0.557604	0.133500
446	0.277690	0.608459	0.113851
447	0.301107	0.568965	0.129928
448	0.295330	0.572411	0.132258
449	0.263794	0.620863	0.115343
450	0.266825	0.608725	0.124451
451	0.269850	0.605855	0.124294
452	0.293661	0.568366	0.137972
453	0.237210	0.670563	0.092227
454	0.236918	0.674147	0.088935
455	0.310019	0.558374	0.131607
456	0.239160	0.654230	0.106609
457	0.263869	0.609957	0.126174
458	0.253684	0.625836	0.120481
459	0.256240	0.636318	0.107442
460	0.127235	0.732673	0.140092
461	0.282117	0.586356	0.131527
462	0.283248	0.577666	0.139086
463	0.236109	0.673102	0.090789
464	0.277439	0.600344	0.122217
465	0.285295	0.581913	0.132792
466	0.274944	0.615251	0.109805
467	0.266785	0.605244	0.127971
468	0.303325	0.577566	0.119110
469	0.265865	0.601278	0.132857
470	0.267707	0.613831	0.118462
471	0.323758	0.548486	0.127756
472	0.323887	0.543607	0.132507
473	0.287078	0.578669	0.134253
474	0.231272	0.679319	0.089409
475	0.263924	0.605228	0.130848
476	0.275283	0.592831	0.131885
477	0.269690	0.608605	0.121705
478	0.320716	0.548504	0.130780
479	0.300330	0.565168	0.134501
480	0.277190	0.587816	0.134994
481	0.192841	0.680838	0.126321
482	0.285485	0.579982	0.134534
483	0.301286	0.568349	0.130365
484	0.263327	0.610897	0.125777
485	0.263437	0.632452	0.104111
486	0.284143	0.586507	0.129350
487	0.315810	0.545713	0.138477
488	0.307461	0.562298	0.130240
489	0.309053	0.556870	0.134077
490	0.277337	0.589898	0.132765
491	0.295331	0.578460	0.126209
492	0.255099	0.631374	0.113527
493	0.294093	0.577347	0.128560
494	0.239815	0.628249	0.131936
495	0.232210	0.670579	0.097211
496	0.253331	0.626090	0.120579
497	0.289321	0.594217	0.116461
498	0.309494	0.562266	0.128240
499	0.297099	0.574208	0.128693
500	0.238953	0.636224	0.124823
501	0.252626	0.618757	0.128617
502	0.242277	0.646507	0.111216
503	0.285345	0.595685	0.118970
504	0.314676	0.556687	0.128637
505	0.300229	0.568901	0.130870
506	0.264217	0.603755	0.132029
507	0.251712	0.649362	0.098925
508	0.292867	0.584393	0.122740
509	0.283186	0.574964	0.141850
510	0.253892	0.636167	0.109941
511	0.315400	0.553985	0.130615
512	0.231869	0.673489	0.094642
513	0.273162	0.597716	0.129122
514	0.286705	0.580047	0.133248
515	0.262412	0.612813	0.124775
516	0.288680	0.580084	0.131236
517	0.233948	0.662999	0.103053
518	0.284688	0.579380	0.135931
519	0.251546	0.618248	0.130206
520	0.272493	0.605213	0.122294
521	0.234096	0.669144	0.096759
522	0.268805	0.618666	0.112529
523	0.304453	0.563903	0.131645
524	0.285392	0.594484	0.120124
525	0.274330	0.597522	0.128148
526	0.274617	0.600112	0.125270
527	0.265689	0.596071	0.138240
528	0.279954	0.590834	0.129212
529	0.322768	0.539858	0.137374
530	0.280440	0.585171	0.134388
531	0.299203	0.568335	0.132462
532	0.246699	0.628778	0.124523
533	0.263920	0.602448	0.133632
534	0.303448	0.553592	0.142961
535	0.189050	0.679181	0.131769
536	0.277078	0.592840	0.130082
537	0.310251	0.546721	0.143028
538	0.239631	0.633581	0.126788
539	0.300608	0.572287	0.127106
540	0.284168	0.582040	0.133791
541	0.291709	0.576245	0.132047
542	0.262238	0.616665	0.121098
543	0.268802	0.610766	0.120432
544	0.277036	0.599691	0.123273
545	0.275921	0.598602	0.125477
546	0.236574	0.665164	0.098262
547	0.262706	0.618246	0.119048
548	0.253754	0.625167	0.121080
549	0.253738	0.623837	0.122425
550	0.316467	0.552261	0.131273
551	0.292312	0.577890	0.129798
552	0.279562	0.588416	0.132022
553	0.279207	0.590800	0.129993
554	0.272875	0.606095	0.121030
555	0.287265	0.583686	0.129049
556	0.286075	0.578834	0.135091
557	0.286393	0.592168	0.121439
558	0.298745	0.550600	0.150655
559	0.308072	0.541821	0.150107
560	0.295913	0.576717	0.127370
561	0.285295	0.583390	0.131315
562	0.303252	0.568063	0.128685
563	0.274290	0.615879	0.109831
564	0.245465	0.627927	0.126608
565	0.291960	0.586732	0.121307
566	0.301143	0.568871	0.129986
567	0.321767	0.548183	0.130050
568	0.299639	0.565218	0.135143
569	0.282913	0.588986	0.128101
570	0.241781	0.662840	0.095379
571	0.298381	0.576535	0.125084
572	0.286585	0.576308	0.137107
573	0.243230	0.661613	0.095157
574	0.283149	0.583429	0.133422
575	0.276454	0.598157	0.125389
576	0.282978	0.582178	0.134845
577	0.264175	0.603421	0.132404
578	0.263867	0.610052	0.126081
579	0.289150	0.578262	0.132588
580	0.305853	0.560622	0.133525
581	0.273740	0.603451	0.122809
582	0.320947	0.546183	0.132869
583	0.264841	0.608738	0.126421
584	0.256018	0.614557	0.129426
585	0.241504	0.658645	0.099851
586	0.284286	0.580241	0.135473
587	0.248850	0.631327	0.119823
588	0.255769	0.616195	0.128036
589	0.236960	0.636319	0.126721
590	0.276932	0.593586	0.129482
591	0.212833	0.646963	0.140204
592	0.282118	0.587899	0.129983
593	0.276890	0.596445	0.126665
594	0.236576	0.636630	0.126794
595	0.248820	0.624120	0.127060
596	0.234875	0.668843	0.096282
597	0.309210	0.557221	0.133569
598	0.270045	0.603918	0.126037
599	0.308417	0.561139	0.130443
600	0.314046	0.549559	0.136395
601	0.262542	0.620946	0.116513
602	0.280915	0.590566	0.128519
603	0.213636	0.674884	0.111480
604	0.323944	0.545932	0.130124
605	0.276381	0.597710	0.125909
606	0.271665	0.605120	0.123215
607	0.320882	0.539842	0.139276
608	0.263941	0.602593	0.133466
609	0.276390	0.600667	0.122942
610	0.317475	0.534755	0.147770
611	0.311166	0.557493	0.131341
612	0.230964	0.676594	0.092442
613	0.291475	0.572099	0.136425
614	0.306922	0.562022	0.131055
615	0.236952	0.654247	0.108800
616	0.306235	0.568416	0.125349
617	0.299728	0.569258	0.131013
618	0.233960	0.633936	0.132103
619	0.276850	0.592175	0.130975
620	0.317468	0.541466	0.141065
621	0.307854	0.558317	0.133829
622	0.276857	0.598125	0.125019
623	0.181806	0.694797	0.123397
624	0.287523	0.577438	0.135039
625	0.265184	0.612023	0.122793
626	0.248723	0.633574	0.117702
627	0.279344	0.592797	0.127859
628	0.318756	0.544531	0.136712
629	0.284381	0.573131	0.142488
630	0.283396	0.585866	0.130739
631	0.292542	0.565292	0.142165
632	0.286035	0.619302	0.094663
633	0.288004	0.596839	0.115157
634	0.299961	0.569698	0.130341
635	0.297688	0.577012	0.125300
636	0.279646	0.608528	0.111826
637	0.280960	0.596049	0.122991
638	0.268842	0.599563	0.131594
639	0.316261	0.554773	0.128967
640	0.257985	0.643118	0.098898
641	0.313815	0.553746	0.132439
642	0.323859	0.545161	0.130981
643	0.278266	0.594866	0.126867
644	0.316859	0.544830	0.138311
645	0.272113	0.600204	0.127683
646	0.308385	0.558113	0.133502
647	0.301893	0.570279	0.127828
648	0.277370	0.595681	0.126949
649	0.290539	0.576267	0.133193
650	0.290943	0.569695	0.139362
651	0.295301	0.575593	0.129107
652	0.177642	0.717890	0.104468
653	0.238350	0.673902	0.087749
654	0.237037	0.660482	0.102481
655	0.296663	0.578474	0.124863
656	0.258925	0.621979	0.119096
657	0.316661	0.544912	0.138426
658	0.267084	0.612345	0.120571
659	0.314681	0.546974	0.138345
660	0.323431	0.539752	0.136818
661	0.272993	0.598461	0.128546
662	0.240082	0.626777	0.133142
663	0.284641	0.590082	0.125277
664	0.233116	0.664649	0.102235
665	0.315674	0.554100	0.130226
666	0.290033	0.574081	0.135886
667	0.235740	0.664286	0.099974
668	0.238812	0.632820	0.128368
669	0.277939	0.591854	0.130208
670	0.242055	0.631294	0.126651
671	0.300666	0.567478	0.131856
672	0.282443	0.587464	0.130093
673	0.314352	0.554746	0.130902
674	0.221460	0.662154	0.116386
675	0.260916	0.609732	0.129352
676	0.281896	0.576612	0.141492
677	0.232777	0.667981	0.099242
678	0.254844	0.642264	0.102892
679	0.254841	0.621589	0.123570
680	0.284092	0.563532	0.152377
681	0.298214	0.576464	0.125322
682	0.308353	0.561044	0.130603
683	0.286911	0.578918	0.134171
684	0.271508	0.603173	0.125319
685	0.301383	0.561358	0.137260
686	0.258037	0.625989	0.115975
687	0.293699	0.574967	0.131333
688	0.254160	0.622783	0.123056
689	0.290815	0.578446	0.130739
690	0.275710	0.589591	0.134699
691	0.278198	0.589825	0.131976
692	0.271279	0.614284	0.114437
693	0.270996	0.600042	0.128962
694	0.269028	0.609491	0.121481
695	0.247276	0.647061	0.105663
696	0.278737	0.589919	0.131343
697	0.251533	0.625704	0.122763
698	0.316204	0.554765	0.129031
699	0.243090	0.665940	0.090970
700	0.278789	0.593351	0.127860
701	0.251244	0.647971	0.100785
702	0.299518	0.567111	0.133370
703	0.317056	0.545363	0.137582
704	0.256689	0.618229	0.125082
705	0.262640	0.605537	0.131823
706	0.294002	0.564679	0.141319
707	0.306842	0.565921	0.127237
708	0.286447	0.577276	0.136277
709	0.272794	0.597834	0.129372
710	0.260301	0.633640	0.106059
711	0.272956	0.596810	0.130234
712	0.278080	0.596261	0.125659
713	0.324192	0.541322	0.134486
714	0.313082	0.554925	0.131993
715	0.259185	0.602715	0.138099
716	0.283478	0.581169	0.135353
717	0.292966	0.561167	0.145867
718	0.274401	0.598914	0.126685
719	0.277247	0.590374	0.132379
720	0.307446	0.555307	0.137248
721	0.232909	0.667696	0.099395
722	0.291944	0.581759	0.126297
723	0.298154	0.574093	0.127753
724	0.240209	0.625997	0.133794
725	0.299143	0.571733	0.129124
726	0.295839	0.553265	0.150896
727	0.240065	0.658548	0.101387
728	0.237231	0.662935	0.099834
729	0.295756	0.561569	0.142675
730	0.313556	0.554660	0.131784
731	0.297538	0.569406	0.133056
732	0.304418	0.564220	0.131361
733	0.322238	0.534403	0.143360
734	0.284250	0.585832	0.129918
735	0.294537	0.558828	0.146634
736	0.292608	0.582168	0.125224
737	0.285061	0.582755	0.132184
738	0.266156	0.609709	0.124135
739	0.298504	0.570513	0.130983
740	0.302964	0.566145	0.130891
741	0.301632	0.564974	0.133394
742	0.264245	0.604484	0.131271
743	0.298492	0.575952	0.125556
744	0.300397	0.572455	0.127148
745	0.231278	0.677943	0.090779
746	0.256134	0.626346	0.117521
747	0.279529	0.594194	0.126277
748	0.322415	0.543338	0.134247
749	0.287663	0.578306	0.134031
750	0.289856	0.564773	0.145371
751	0.294018	0.558161	0.147821
752	0.275737	0.599644	0.124619
753	0.292096	0.584486	0.123417
754	0.232505	0.634627	0.132868
755	0.282471	0.587924	0.129605
756	0.253423	0.622538	0.124039
757	0.253818	0.626795	0.119387
758	0.298726	0.563427	0.137847
759	0.256244	0.615162	0.128594
760	0.277793	0.602699	0.119508
761	0.281064	0.587946	0.130990
762	0.264170	0.618319	0.117511
763	0.314054	0.550550	0.135396
764	0.292988	0.582536	0.124475
765	0.313377	0.554522	0.132101
766	0.318062	0.546208	0.135729
767	0.305004	0.567750	0.127247
768	0.287705	0.574183	0.138113
769	0.275755	0.600016	0.124229
770	0.290523	0.590618	0.118858
771	0.298787	0.574914	0.126299
772	0.266966	0.599514	0.133520
773	0.313823	0.555648	0.130530
774	0.267496	0.599519	0.132984
775	0.285020	0.596601	0.118379
776	0.276249	0.582916	0.140836
777	0.254697	0.621863	0.123440
778	0.278942	0.604653	0.116405
779	0.311242	0.551800	0.136958
780	0.292311	0.574353	0.133336
781	0.268006	0.607652	0.124342
782	0.249716	0.636498	0.113786
783	0.278413	0.594316	0.127271
784	0.265875	0.602121	0.132004
785	0.269896	0.615289	0.114816
786	0.283366	0.584672	0.131962
787	0.298922	0.574142	0.126937
788	0.307576	0.560788	0.131637
789	0.324092	0.543243	0.132664
790	0.289611	0.583312	0.127077
791	0.285650	0.571776	0.142574
792	0.256773	0.614761	0.128465
793	0.233711	0.631568	0.134721
794	0.274623	0.602114	0.123263
795	0.253203	0.633134	0.113663
796	0.303706	0.561957	0.134337
797	0.239098	0.660723	0.100179
798	0.168387	0.743929	0.087684
799	0.239815	0.663647	0.096539
800	0.233762	0.668506	0.097732
801	0.320206	0.547492	0.132302
802	0.239203	0.630799	0.129998
803	0.271392	0.582146	0.146462
804	0.255912	0.619186	0.124902
805	0.284971	0.577107	0.137922
806	0.282513	0.587091	0.130396
807	0.231120	0.676530	0.092350
808	0.313716	0.559520	0.126765
809	0.303066	0.566167	0.130766
810	0.268335	0.602161	0.129505
811	0.233004	0.670274	0.096722
812	0.291853	0.566623	0.141525
813	0.234763	0.667279	0.097959
814	0.273089	0.602549	0.124363
815	0.299440	0.570974	0.129586
816	0.321090	0.540305	0.138605
817	0.273394	0.577360	0.149246
818	0.270092	0.615469	0.114439
819	0.309348	0.562320	0.128332
820	0.276127	0.597844	0.126029
